"Zeit";"Vertreter";"Buch";"Stück"
7.5.2009 00:00:00;1;1;23
14.5.2009 00:00:00;1;1;20
21.5.2009 00:00:00;1;1;25
28.5.2009 00:00:00;1;1;26
4.6.2009 00:00:00;1;1;18
11.6.2009 00:00:00;1;1;18
18.6.2009 00:00:00;1;1;17
25.6.2009 00:00:00;1;1;19
2.7.2009 00:00:00;1;1;15
9.7.2009 00:00:00;1;1;14
16.7.2009 00:00:00;1;1;19
23.7.2009 00:00:00;1;1;13
30.7.2009 00:00:00;1;1;15
6.8.2009 00:00:00;1;1;17
13.8.2009 00:00:00;1;1;17
20.8.2009 00:00:00;1;1;16
27.8.2009 00:00:00;1;1;13
3.9.2009 00:00:00;1;1;14
10.9.2009 00:00:00;1;1;15
17.9.2009 00:00:00;1;1;15
24.9.2009 00:00:00;1;1;12
1.10.2009 00:00:00;1;1;12
8.10.2009 00:00:00;1;1;11
15.10.2009 00:00:00;1;1;10
22.10.2009 00:00:00;1;1;13
29.10.2009 00:00:00;1;1;11
5.11.2009 00:00:00;1;1;11
12.11.2009 00:00:00;1;1;10
19.11.2009 00:00:00;1;1;8
26.11.2009 00:00:00;1;1;10
3.12.2009 00:00:00;1;1;8
10.12.2009 00:00:00;1;1;6
17.12.2009 00:00:00;1;1;6
24.12.2009 00:00:00;1;1;8
31.12.2009 00:00:00;1;1;5
7.1.2010 00:00:00;1;1;6
14.1.2010 00:00:00;1;1;5
21.1.2010 00:00:00;1;1;4
28.1.2010 00:00:00;1;1;4
4.2.2010 00:00:00;1;1;3
11.2.2010 00:00:00;1;1;3
18.2.2010 00:00:00;1;1;3
25.2.2010 00:00:00;1;1;3
4.3.2010 00:00:00;1;1;2
11.3.2010 00:00:00;1;1;2
18.3.2010 00:00:00;1;1;2
25.3.2010 00:00:00;1;1;2
1.4.2010 00:00:00;1;1;1
8.4.2010 00:00:00;1;1;1
15.4.2010 00:00:00;1;1;1
22.4.2010 00:00:00;1;1;1
29.4.2010 00:00:00;1;1;1
6.5.2010 00:00:00;1;1;1
13.5.2010 00:00:00;1;1;1
20.5.2010 00:00:00;1;1;1
27.5.2010 00:00:00;1;1;1
3.6.2010 00:00:00;1;1;1
10.6.2010 00:00:00;1;1;1
17.6.2010 00:00:00;1;1;0
24.6.2010 00:00:00;1;1;0
1.7.2010 00:00:00;1;1;0
8.7.2010 00:00:00;1;1;0
15.7.2010 00:00:00;1;1;0
22.7.2010 00:00:00;1;1;0
29.7.2010 00:00:00;1;1;0
5.8.2010 00:00:00;1;1;0
12.8.2010 00:00:00;1;1;0
19.8.2010 00:00:00;1;1;0
26.8.2010 00:00:00;1;1;0
2.9.2010 00:00:00;1;1;0
9.9.2010 00:00:00;1;1;0
16.9.2010 00:00:00;1;1;0
23.9.2010 00:00:00;1;1;0
30.9.2010 00:00:00;1;1;0
7.10.2010 00:00:00;1;1;0
14.10.2010 00:00:00;1;1;0
21.10.2010 00:00:00;1;1;0
28.10.2010 00:00:00;1;1;0
4.11.2010 00:00:00;1;1;0
11.11.2010 00:00:00;1;1;0
18.11.2010 00:00:00;1;1;0
25.11.2010 00:00:00;1;1;0
2.12.2010 00:00:00;1;1;0
9.12.2010 00:00:00;1;1;0
16.12.2010 00:00:00;1;1;0
23.12.2010 00:00:00;1;1;0
30.12.2010 00:00:00;1;1;0
7.5.2009 00:00:00;2;1;35
14.5.2009 00:00:00;2;1;37
21.5.2009 00:00:00;2;1;34
28.5.2009 00:00:00;2;1;30
4.6.2009 00:00:00;2;1;29
11.6.2009 00:00:00;2;1;28
18.6.2009 00:00:00;2;1;30
25.6.2009 00:00:00;2;1;24
2.7.2009 00:00:00;2;1;21
9.7.2009 00:00:00;2;1;25
16.7.2009 00:00:00;2;1;20
23.7.2009 00:00:00;2;1;22
30.7.2009 00:00:00;2;1;23
6.8.2009 00:00:00;2;1;21
13.8.2009 00:00:00;2;1;26
20.8.2009 00:00:00;2;1;17
27.8.2009 00:00:00;2;1;22
3.9.2009 00:00:00;2;1;21
10.9.2009 00:00:00;2;1;20
17.9.2009 00:00:00;2;1;15
24.9.2009 00:00:00;2;1;20
1.10.2009 00:00:00;2;1;17
8.10.2009 00:00:00;2;1;21
15.10.2009 00:00:00;2;1;15
22.10.2009 00:00:00;2;1;15
29.10.2009 00:00:00;2;1;15
5.11.2009 00:00:00;2;1;14
12.11.2009 00:00:00;2;1;13
19.11.2009 00:00:00;2;1;15
26.11.2009 00:00:00;2;1;15
3.12.2009 00:00:00;2;1;12
10.12.2009 00:00:00;2;1;12
17.12.2009 00:00:00;2;1;11
24.12.2009 00:00:00;2;1;11
31.12.2009 00:00:00;2;1;10
7.1.2010 00:00:00;2;1;7
14.1.2010 00:00:00;2;1;8
21.1.2010 00:00:00;2;1;7
28.1.2010 00:00:00;2;1;6
4.2.2010 00:00:00;2;1;5
11.2.2010 00:00:00;2;1;5
18.2.2010 00:00:00;2;1;4
25.2.2010 00:00:00;2;1;3
4.3.2010 00:00:00;2;1;4
11.3.2010 00:00:00;2;1;3
18.3.2010 00:00:00;2;1;3
25.3.2010 00:00:00;2;1;3
1.4.2010 00:00:00;2;1;2
8.4.2010 00:00:00;2;1;2
15.4.2010 00:00:00;2;1;2
22.4.2010 00:00:00;2;1;2
29.4.2010 00:00:00;2;1;2
6.5.2010 00:00:00;2;1;1
13.5.2010 00:00:00;2;1;1
20.5.2010 00:00:00;2;1;1
27.5.2010 00:00:00;2;1;1
3.6.2010 00:00:00;2;1;1
10.6.2010 00:00:00;2;1;1
17.6.2010 00:00:00;2;1;1
24.6.2010 00:00:00;2;1;1
1.7.2010 00:00:00;2;1;1
8.7.2010 00:00:00;2;1;1
15.7.2010 00:00:00;2;1;0
22.7.2010 00:00:00;2;1;0
29.7.2010 00:00:00;2;1;0
5.8.2010 00:00:00;2;1;0
12.8.2010 00:00:00;2;1;0
19.8.2010 00:00:00;2;1;0
26.8.2010 00:00:00;2;1;0
2.9.2010 00:00:00;2;1;0
9.9.2010 00:00:00;2;1;0
16.9.2010 00:00:00;2;1;0
23.9.2010 00:00:00;2;1;0
30.9.2010 00:00:00;2;1;0
7.10.2010 00:00:00;2;1;0
14.10.2010 00:00:00;2;1;0
21.10.2010 00:00:00;2;1;0
28.10.2010 00:00:00;2;1;0
4.11.2010 00:00:00;2;1;0
11.11.2010 00:00:00;2;1;0
18.11.2010 00:00:00;2;1;0
25.11.2010 00:00:00;2;1;0
2.12.2010 00:00:00;2;1;0
9.12.2010 00:00:00;2;1;0
16.12.2010 00:00:00;2;1;0
23.12.2010 00:00:00;2;1;0
30.12.2010 00:00:00;2;1;0
7.5.2009 00:00:00;3;1;32
14.5.2009 00:00:00;3;1;26
21.5.2009 00:00:00;3;1;25
28.5.2009 00:00:00;3;1;24
4.6.2009 00:00:00;3;1;24
11.6.2009 00:00:00;3;1;25
18.6.2009 00:00:00;3;1;22
25.6.2009 00:00:00;3;1;24
2.7.2009 00:00:00;3;1;25
9.7.2009 00:00:00;3;1;21
16.7.2009 00:00:00;3;1;17
23.7.2009 00:00:00;3;1;20
30.7.2009 00:00:00;3;1;18
6.8.2009 00:00:00;3;1;17
13.8.2009 00:00:00;3;1;19
20.8.2009 00:00:00;3;1;17
27.8.2009 00:00:00;3;1;16
3.9.2009 00:00:00;3;1;15
10.9.2009 00:00:00;3;1;19
17.9.2009 00:00:00;3;1;14
24.9.2009 00:00:00;3;1;15
1.10.2009 00:00:00;3;1;15
8.10.2009 00:00:00;3;1;15
15.10.2009 00:00:00;3;1;15
22.10.2009 00:00:00;3;1;11
29.10.2009 00:00:00;3;1;12
